Experiment,Map_Type,MSE,PSNR,SSIM,VIF,MS-SSIM,LPIPS
Exp1_Uniform,Struct,0.01409870034774786,18.50820919813843,0.3164223238003794,0.013370697238661161,0.5710710146886193,0.18526063859462738
Exp1_Uniform,OAC,0.04872253382769698,13.122701341934818,0.1608224192826455,0.00984874035294844,0.31510118342054017,0.17846262454986572
Exp1_Uniform,SC,0.0024616867704879133,26.08767208310835,0.7221466526404081,0.08527914193258139,0.65963284855161,0.22252458333969116
Exp1_Uniform,RSC,0.006812382411700127,21.66700980992807,0.6427847986070986,0.08705194248148711,0.6932394572962053,0.272849440574646
Exp2_Layers,Struct,0.0124327289796893,19.054335334068362,0.4925119987662075,0.040276189084477505,0.7467150133763886,0.11752656102180481
Exp2_Layers,OAC,0.019271169601610558,17.150919264389458,0.6985306597654807,0.08999389319797205,0.8079506527853423,0.09544031322002411
Exp2_Layers,SC,0.0012623424302702086,28.988228198904245,0.84676267552553,0.23748998708306585,0.8631092959250889,0.0903787687420845
Exp2_Layers,RSC,0.0006270634857611858,32.02688487686023,0.9109984230060457,0.4057606113034116,0.9272547645235962,0.07253636419773102
Cross_Uniform_vs_Layers,Struct,0.03384707042044376,14.704789150230006,0.7203209016945155,0.3138647050510665,0.6702693968912293,0.3628327250480652
Cross_Uniform_vs_Layers,OAC,0.046545139592869926,13.321256628717608,0.4394418303607401,0.12952722409812506,0.546740942380859,0.5215628147125244
Cross_Uniform_vs_Layers,SC,0.011166572145478903,19.520801238204893,0.6548192082805623,0.16051989412610704,0.6116124516367731,0.487337589263916
Cross_Uniform_vs_Layers,RSC,0.01056343251675287,19.761949377815316,0.548283094189621,0.19933013370034158,0.5439291340913338,0.5277150869369507
